Day,Trip,TripStatus,StartTime,EndTime,Type,Event,TypeOfEvent,Level,Site,SiteRoom,Leader1,Leader2,Leader3,Leader4, FeeRequired,FEE,TransportNeeded,Transportation,MaxAttendees,SecondaryStatus,MultiEvent,MultiEventCode,Program
"Saturday","206","Retain",07:00:00,16:00:00,"Field Trip","Big Pelagic: Birds & Whales","Birding","","Morro Bay Landing","","Tom Edell","Brad Schram","Curtis Marantz","Tom Benson","Yes",$100.00,"Yes","Boat",39,"SOLID","No","","Spend a day at sea with Tom Edell, Brad Schram, Curtis Marantz and Tom Benson searching for albatross, shearwaters, kittiwakes, alcids, jaegers, gray whales and much more. Meet at the Community Center and travel by personal vehicle to the boat. Dress for cold and wind, including gloves. The boat is typically used for fishing; no outdoor seating. There is seating available in the cabin, as well as snacks and drinks for sale. Bring lunch, liquids and sunscreen, and take motion sickness medication before arriving. Note that the boat does not wait for late arrivals. Participants will meet at Morro Bay Landing, 1213 Embarcadero, Morro Bay. (Phone 805-771-5500.) Weather conditions may cancel."
"Saturday","207","Retain",07:15:00,12:00:00,"Field Trip","San Luis Creek Mouth and Cal Poly Pier","Nature","B,W","Community Center","","Michele Roest","Ken Hillers","","","No",,"No","Personal Vehicle",20,"SOLID","No","","Join Cal Poly Biology professor Ken Hillers and biologist Michele Roest in Avila Beach to see shorebirds and water birds. You will start by walking to the end of the Cal Poly Pier (normally closed to the public), which extends half a mile into San Luis Bay. There you may expect wintering water birds, as well as other marine life, and you’ll learn a little about the research being done by Cal Poly at the Pier. Then walk to the mouth of San Luis Obispo Creek where you can expect to see a variety of shorebirds. Total walking distance will be 2 miles, all on paved surfaces, though closed-toed shoes are a must. Minimum age for trip is 14. The pier is accessible to people in wheelchairs, but not suitable for canes, tripods or walkers. 50 miles round trip by personal vehicle."
"Saturday","208","Retain",07:15:00,14:00:00,"Field Trip","Explore North Coast Birding","Birding","","Community Center","","Karen Clarke ","Gale Kordowski","","","Yes",$20.00,"No","Personal Vehicle",15,"SOLID","Yes","ENCB2","Visit spots along the rugged North Coast with Karen Clarke and Gale Kordowski to look for Surfbirds, turnstones, Snowy Plovers, scoters, mergansers, loons, grebes, gulls and more. Also expect to see a variety of raptors, including Peregrine Falcons, Golden Eagles, Ferruginous Hawks and Burrowing Owls. Stop for a private lunch in Cambria at a "quaint" seafood restaurant (cost included in trip) before driving back to Morro Bay. 60 miles round trip by personal vehicle. Moderate. Same as event #105."
"Saturday","209","Retain",07:15:00,16:00:00,"Field Trip","Hiking Big Day","Birding","","Community Center","","Mike Stiles ","","","","No",,"No","None",12,"SOLID","No","","Leave the fossil fuels untouched and walk with leader Mike Stiles through the Morro Bay area! This day can make you and the environment feel good. Bird a variety of habitats; 80+ species are possible. Walking will be slow-paced, mostly level, with many stops, but expect to walk 6-8 miles. Bring a day pack, lunch, and water; wear layered clothing and comfortable walking shoes."
"Saturday","210","Retain",07:30:00,11:30:00,"Field Trip","Birds Sounds Field Study","Birding","","Community Center","","Roy Poucher","","","","No",,"No","Personal Vehicle",15,"SOLID","Yes","BSW2","Join Roy Poucher in the field for the “hands-on” companion to the Bird Sounds Workshop on Friday afternoon. The goal is to solidify the general principles explored on Friday, and provide practical experience with field identification of specific Morro Bay bird songs and calls. We will primarily be standing at different locations for short time segments, silently noting on paper what bird sounds we are individually hearing, then, as a group, discussing these sounds. Though useful, binoculars are not necessary! Notebooks will be needed. The Friday afternoon Bird Sounds Workshop #030 is a prerequisite for this event. Total walking distance will be about 1.2 miles. Easy. Travel by personal vehicle <15 miles round trip from Community Center. Same as event #306."
"Saturday","211","New",07:30:00,11:30:00,"Presentation/Field Trip","Delving into the Mysteries of Sparrow Identification and Natural History - Field Trip","Birding","B","Community Center","","David Jaffee","","","","No",,"No","Personal Vehicle",15,"SOLID","No","","Join Biologist David Jaffee for this Sparrow Presentation and Field Trip. The Friday seminar is designed for folks interested in exploring the veil of secrecy shrouding LBB’s (little brown birds) and will be generally geared towards beginner ‘delvers’, although all are welcome. The field trip portion will visit a nearby site to implement our newly acquired skills to identify sparrows as well as other birds along the way. Travel in your personal vehicle to a site chosen by the leader."
"Saturday","212","Retain",07:30:00,12:00:00,"Field Trip","Estero Bluffs for New Birders","Birding","B,Y","Community Center","","Rick Austin","","","","No",,"No","Personal Vehicle",15,"SOLID","Yes","","Join leader Rick Austin for a slow-paced walk of 1.5-2 miles along a beautiful and wild ocean bluff trail. Expect rock-loving shorebirds such as Black and Ruddy Turnstones, Surfbirds, Whimbrels, scoters, terns, gulls and maybe a Harlequin Duck. 20 miles round trip by personal vehicle. Moderate."
"Saturday","213","Retain",07:30:00,12:00:00,"Field Trip","Montaña de Oro Campground, Cove & Bluffs","Birding","B,Y","Community Center","","Jay Carroll","Bert Townsend","","","No",,"No","Personal Vehicle",15,"SOLID","Yes","MDO1","Bird with Jay Carroll and Bert Townsend in a spectacular 8,600-acre state park with untamed coastline and coastal uplands. Expect rocky-shore shorebirds, water birds, raptors, and passerines in various habitats. Includes 1-2 miles of slow walking. 20 miles round trip by personal vehicle. Moderate. Same as events #312 & #411."
"Saturday","214","Retain",07:45:00,12:00:00,"Field Trip","Raptors of Sunshine Ranch ","Birding","B,Y","Community Center","","Kara Hagedorn","Ralph Cass","","","No",,"No","Personal Vehicle",16,"SOLID","No","","Come experience Sunshine Ranch with leaders Kara Hagedorn and Ralph Cass. The ranch is a unique area between Santa Margarita and Atascadero. Meet Sunshine, an injured Red-tailed Hawk, and learn about identification and adaptations of raptors that live in the area. Spend time with Sunshine and then do an easy one-mile walk along the border of the ranch, identifying birds along the way. The grasslands, riparian area and pond always bring surprises. 40 miles round trip by personal vehicle. Easy."
"Saturday","215","Retain",08:00:00,10:00:00,"Presentation/Field Trip","PhoneScoping","Birding","","Community Center","Lounge","Bruce Webb","","","","No",,"No","Personal Vehicle",8,"SOLID","Yes","PS1","The latest fun way to document your sightings is with the camera in your smartphone (preferably iPhone). Join Bruce Webb, Swarovski Optik Field Tech, in a two-hour PhoneScoping field workshop to improve your technique. Bruce will have smartphone adapters to fit several kinds of scopes, including Kowa, Leica, etc. He will also have some of Swarovski's latest spotting scopes for you to test. Bring your own phone adapter, manufacturer’s earphones and scope if possible. Travel by personal vehicle to a nearby field site to PhoneScope birds. Easy. Same as event #314."
"Saturday","216","Retain",08:00:00,10:30:00,"Field Trip","Gulls of San Luis Obispo County Field Study","Birding","","Community Center","","Kaaren Perry","","","","No",,"No","Personal Vehicle",16,"SOLID","Yes","GSLOC2","Enjoy a fun morning of birding with Kaaren Perry and focus on the study of our local gulls. Have a chance to practice identifying and talk a little more about aging the various gull species that will be easily viewable from the shore. Binoculars are necessary and scopes are recommended but not required. The Friday afternoon Gulls of San Luis Obispo County workshop #140 is a prerequisite for this event. Easy. Travel by personal vehicle. Same as event #405."
"Saturday","217","Retain",08:00:00,11:00:00,"Field Trip","Kayaking","Birding","B,Y","State Park Marina","","John Flaherty","Virginia Flaherty","","","Yes",$45.00,"Yes","Kayak",12,"SOLID","Yes","K2","Go out on a kayak tour of Morro Bay with John and Virginia Flaherty and guides at Central Coast Outdoors. Get an opportunity for an up-close view of White Pelicans, Brant, Common Loons and a host of other migratory waterfowl and shorebirds in their natural habitat. Visit the Heron Rookery, Grassy Island, mudflats and channels of the Back Bay. We will use double kayaks; no prior kayaking experience needed. Dress in layers with the following guidelines: synthetics or wool, no cotton, windbreaker jacket, hat for sun and wind protection, and shoes that can get wet. Weather conditions may cancel. Meet at the State Park Marina on State Park Road near the Bayside Café. Minimum age is 8 and children 12 years and under must be accompanied by an adult. Same as events #118, #227, #330 & #406."
"Saturday","218","Retain",08:00:00,12:00:00,"Field Trip","Birding Fiscalini Ranch","Birding","","Community Center","","Bob Keally","","","","No",,"No","Personal Vehicle",15,"SOLID","Yes","BFR1","Bird with Bob Keally on Cambria's Fiscalini Ranch on a moderate (244 feet elevation gain) three-mile hike through grassland, mixed oak/Monterey pine forest and coastal bluffs. Expect a diversity of birds, including sparrows, birds of prey, Pygmy Nuthatches and rocky shore shorebirds. Pace will be determined by leader and desires of the group. 50 miles round trip by personal vehicle. Moderate. Same as event #408."
"Saturday","219","Retain",08:00:00,12:00:00,"Field Trip","Morro Strand Shorebird Stroll","Birding","","Cloisters","","Lucien Plauzoles","","","","No",,"No","None",15,"SOLID","Yes","MSSS1","Join Lucien Plauzoles of Santa Monica Bay Audubon Society for a level stroll past a pond, through coastal scrub, and then onto sandy beach. Observe ducks, herons, gulls, terns, grebes and several species of shorebirds including Snowy Plovers for a slow-paced stroll on Morro Strand. Moderate 1.5-2 mile walk with some soft sand. Meet in the Azure Street parking lot: from Hwy 1 at the north end of Morro Bay, turn west at the San Jacinto traffic light; at the dead end, make a short jog to the left then right into the parking lot. Same as event #315."
"Saturday","220","Retain",08:15:00,12:00:00,"Field Trip","Estero Bluffs for Intermediates","Birding","","Community Center","","Marlin Harms","Rick Derevan","","","No",,"No","Personal Vehicle",15,"SOLID","Yes","","Join leaders Marlin Harms and Rick Derevan for intermediate/advanced birding on a walk of 1.5-2 miles along a beautiful and wild ocean bluff trail. Expect rock-loving shorebirds such as Black and Ruddy Turnstones, Surfbirds, Whimbrels, scoters, terns, gulls and maybe a Harlequin Duck. 20 miles round trip by personal vehicle. Moderate."
"Saturday","221","Retain",08:15:00,12:00:00,"Field Trip","Songbirds in the Pines ","Birding","","Community Center","","Randy Bello","Rouvaishyana","Louise Bello","","No",,"No","Personal Vehicle",15,"SOLID","No","","Take a short drive to pine woods on the slopes of Black Hill in Morro Bay, where you will hike trails searching for towhees, finches, woodpeckers and other birds of this habitat with Museum of Natural History Manager Rouvaishyana, State Parks Docent Randy Bello and State Parks Volunteer Louise Bello. Easy to moderate hiking for advanced beginner to intermediate birders. <5 miles round trip by personal vehicle. Easy."
"Saturday","222","Retain",08:30:00,11:30:00,"Field Trip","Coastal Cove, Bluff and Tidepool Ecology","Nature","B,Y","Community Center","","Dean Thompson","","","","No",,"No","Personal Vehicle",15,"SOLID","No","","Join environmental educator Dean Thompson on a pleasant and mostly level natural history walk along the Bluff Trail at Montana de Oro State Park for magnificent views and to see a variety of rocky shoreline birds such as Brown Pelicans, Black Oystercatchers, turnstones, various cormorants and sparrows and more. Expect to observe marine life such as harbor seals and sea otters, and maybe see whales spouting. Weather permitting, explore the rocky intertidal / tide pool ecosystem. 20 miles round trip by personal vehicle. 2-mile walk. Easy."
"Saturday","223","Retain",08:30:00,12:00:00,"Presentation/Field Trip","A Morning with the Monarchs","Nature","B,Y","Community Center","Multipurpose Room","Jessica Griffiths","","","","No",,"No","Personal Vehicle",30,"SOLID","No","","Join Jessica Griffiths for a morning with monarch butterflies. Like birds, monarch butterflies embark on an incredible migration, and tens of thousands of them spend the winter on the Central Coast. The morning will start with a short indoor presentation, going over the basics of monarch biology and behavior. The group will then travel by personal vehicle to a monarch butterfly overwintering site and see clustering monarchs. Bring your cameras! While at the overwintering site, Jessica will give a demonstration of how scientists count overwintering monarchs--and participants can give counting a try, too. The group will bird around the monarch grove for raptors, hummingbirds and winter warblers. The field site will depend on where the monarchs are clustering at the time. Travel by personal vehicle < 50 miles round trip. Easy."
"Saturday","224","Retain",08:30:00,12:00:00,"Field Trip","Bird El Chorro Regional Park","Birding","B,Y","Community Center","","Karl Frank","","","","No",,"No","Personal Vehicle",15,"SOLID","Yes","BECRP1","Bird with Karl Frank in a regional park that has riparian, oak woodland and open space habitats. Expect to see raptors and passerines. Focus will be on birding by ear as well as by eye. Beginners welcome! Includes 1-2 miles of level walking. 15 miles round trip by personal vehicle. Easy. Same as event #308."
"Saturday","225","Retain",08:30:00,12:00:00,"Field Trip","Explore Elfin Forest & Sweet Springs","Birding","B,Y","Community Center","","Steve Griffith","","","","No",,"No","Personal Vehicle",15,"SOLID","No","","Bird with Steve Griffith in area parklands through a variety of habitats including riparian, oak woodland and bay overlooks. We expect to see raptors, passerines and shorebirds in this easy-paced walk. Beginners welcome! The Elfin Forest and portions of the Sweet Springs locations are accessible to people in wheelchairs or using walkers and canes. Total walking distance will be about 1.2 miles. 15 miles round trip by personal vehicle. Easy."
"Saturday","226","Retain",09:00:00,10:45:00,"Field Trip","Bay Birding Photo Cruise ","Birding","B","Embarcadero","","Dave Keeling","","","","Yes",$30.00,"Yes","Boat",18,"SOLID","Yes","BBPC2","Join local expert photographer Dave Keeling aboard a 34-foot power catamaran and cruise around the ever beautiful estuary. Dave will attempt to spot and help identify birds that are seen. Not all of them are cooperative, but there are always some good photo-ops. Dress warmly. No tripods. Meet at Sub Sea Tours at Marina Square, 699 Embarcadero #9. Easy. Children 12 and under must be accompanied by an adult. Same as events #116 & #326."
"Saturday","227","Retain",09:00:00,12:00:00,"Field Trip","Kayaking","Birding","B,Y","State Park Marina","","John Flaherty","Virginia Flaherty","","","Yes",$45.00,"Yes","Kayak",12,"SOLID","Yes","K3","Go out on a kayak tour of Morro Bay with John and Virginia Flaherty and guides at Central Coast Outdoors. Get an opportunity for an up-close view of White Pelicans, Brant, Common Loons and a host of other migratory waterfowl and shorebirds in their natural habitat. Visit the Heron Rookery, Grassy Island, mudflats and channels of the Back Bay. We will use double kayaks; no prior kayaking experience needed. Dress in layers with the following guidelines: synthetics or wool, no cotton, windbreaker jacket, hat for sun and wind protection, and shoes that can get wet. Weather conditions may cancel. Meet at the State Park Marina on State Park Road near the Bayside Café. Minimum age is 8 and children 12 years and under must be accompanied by an adult. Same as events #118, #217, #330 & #406."
"Saturday","228","New",10:00:00,11:45:00,"Field Trip","Morro Bay Up Close","Nature","B,Y","Morro Bay Landing","","John McCabe","Capt. Stew","","","No",$30.00,"Yes","Boat",20,"SOLID","Yes","MBUC2","State Parks Docent John McCabe begins this special trip by describing the geologic history of Morro Rock and features of the estuary using photos, diagrams and hands-on materials. Captain Stew will then take you on a bay cruise on his spacious pontoon boat as he points out the special sights and activities of this unique working harbor including the fishing industry, pleasure boats and more. There will be opportunities to photograph wintering birds but the boat will also get close to otters and sea lions that frequent the bay. Easy access for limited mobility. Meet at Morro Bay Landing; address is 1213 Embarcadero, Morro Bay. Children 12 and under must be accompanied by an adult. Same as events #120, #332 & #414."
"Saturday","229","Retain",10:00:00,12:00:00,"Presentation","Field Recording Basics","Birding","B,W","Community Center","Lounge","Tom Graves","","","","No",,"No","None",40,"SOLID","No","","Having a birding by ear expert with you every time you’re out would be great, but with smaller higher quality recording devices, you can bring home bird sounds and ID them yourself with careful study. Or email your recording to an expert if you get stumped. In this presentation, Tom Graves will talk about field recording basics, resources to help with identification, mnemonics to help you get a handle on the sounds and how to manage your recordings. And you’ll practice with some of Tom's recordings. Audience participation is a must: share your favorite memory tricks, describe the sounds, mimic the sounds, have fun!"
"Saturday","230","Retain",13:00:00,14:30:00,"Field Trip","Snowy Plovers in the Field","Birding","B,Y","Community Center","","Regena Orr","","","","No",,"No","Personal Vehicle",15,"SOLID","Yes","SP2","Join Regena Orr, Environmental Scientist for California State Parks, as you explore the beach for Western Snowy Plover and learn about their habits. Hear the life history of this small bird and why it is listed as a Federally Threatened Species. (www.westernsnowyplover.org) Up to 20 miles round trip by personal vehicle. Moderate. Same as event #125."
"Saturday","231","Retain",13:00:00,14:45:00,"Field Trip","Bay Birding Cruise","Birding","B,Y","Embarcadero","","Claudia Freitas","Robbie Revel","","","Yes",$30.00,"Yes","Boat",18,"Waiting to find leader","Yes","BBC2","Enjoy a leisurely boating tour of the bay and estuary with State Park docents Claudia Freitas and Robbie Revel in an open-deck 34-foot power catamaran. View a variety of shorebirds and waterfowl, often at very close range. The boat will move slowly enough for you to see details of many species that you normally see only through a scope from shore. Good photo opportunities, but no tripods. Dress warmly. Meet at Sub Sea Tours, Marina Square, 699 Embarcadero #9. Easy. Children 12 and under must be accompanied by an adult. Same as events #139, #241, #333, #341 & #413."
"Saturday","232","Retain",13:00:00,15:00:00,"Field Trip","Marina Point Boardwalk ","Birding","B,W","State Park Marina","","Randy Bello","Louise Bello","","","No",,"No","None",12,"SOLID","No","","The Morro Bay State Park Marina boardwalk provides excellent opportunity for viewing a variety of shorebirds, ducks, geese, loons and grebes, gulls, terns and herons as well as raptors, warblers, sparrows, finch and more. This is an easy, level walk especially suited for photographers and people in wheelchairs or using walkers and canes. Easy use of a spotting scope. Led by State Parks Docent Randy Bello and State Parks Volunteer Louise Bello. Meet at east end of the State Park Marina parking lot, across from Morro Bay State Park Campground. <5 miles round trip from Community Center. Easy."
"Saturday","233","Retain",13:00:00,15:00:00,"Field Trip","Pishing and Bird Calls","Birding","B,Y","State Park Marina","","Rouvaishyana","","","","No",,"No","None",15,"SOLID","No","","Learn how birders use “pishing” and other vocal sounds to attract birds for closer study. There will be an introductory workshop session, followed by a short field trip to try out your new skills, led by Rouvaishyana, Museum Manager and State Parks Interpreter. Suitable for beginners and anyone who wants to learn about this obscure skill. Also suitable for families with children, but not part of Family Day. Meet at east end of the State Park Marina parking lot, across from Morro Bay State Park Campground. <5 miles round trip from Community Center. Easy."
"Saturday","234","Retain",13:00:00,16:00:00,"Presentation","The Basics of Bird Photography","Birding","W","St. Timothy's","","Don Quintana","","","","No",,"No","None",50,"SOLID","No","","Join wildlife photographer Donald Quintana as he guides you through the basics of understanding bird photography. Whether you're capturing images for documentation or for artistic pleasure, you’ll want to know what gear is best suited for your needs, how to compose a pleasing image that gives you the best side of the bird and what settings you need to capture them in their best light. If you’re interested in bird photography or wondering if it’s the next addition to your birding tool kit, this class is for you."
"Saturday","234","Retain",13:00:00,16:00:00,"Field Trip","Sea Otters & the Kelp Forest","Nature","B,Y","Community Center","","Phil Adams","Carole Adams","","","No",,"No","Personal Vehicle",15,"SOLID","No","","Learn about the diversity of life within the kelp forest as you join State Parks Docents Phil and Carole Adams for a walk along Estero Bluffs north of Cayucos. Watch for sea otters and learn the role they play in maintaining a healthy kelp forest. 20 miles round trip by personal vehicle. Moderate."
"Saturday","236","Retain",13:30:00,14:30:00,"Presentation","Pacific Wildlife Care - Meet the Raptors","Birding","B,W,Y","Veterans' Hall","","PWC","","","","No",,"No","None",250,"SOLID","Yes","PWC1","Meet several birds of prey, including a Great Horned Owl, a Long-eared Owl, a Red-tailed Hawk and a Peregrine Falcon. These birds are educational ambassadors for Pacific Wildlife Care, a nonprofit wildlife rehabilitation center in Morro Bay. During the presentation by Kathy Duncan and Jeri Roberts you will learn about the wonderful world of raptors and their important niche in the environment. Bring cameras and questions for this up-close study of birds with binocular vision and sharp talons. General public event. Free for Festival attendees; $2 donation to PWC for general public. Same as event #240. Program at Veterans’ Hall in Morro Bay."
"Saturday","237","Retain",14:00:00,15:00:00,"Presentation","Climate Change on the Central Coast","Nature","B,W,Y","Community Center","Lounge","John Lindsey","Ray Weymann","","","No",,"No","None",40,"SOLID","No","","Dr. Ray Weymann, astrophysicist, will summarize the basic science behind climate change, as well as the observed evidence for a changing global climate along with the evidence that fossil fuel consumption has been responsible for the rapid warming of the last several decades. He will briefly conclude with the global impacts of warming associated with a “business as usual” future and the needed reduction in fossil fuel emissions to avoid the more severe of these impacts.
John Lindsey, Marine Meteorologist for PG&E at Diablo Canyon, will then focus on a review of observed recent changes in the climate of the California Central Coast and what can be expected in terms of future local impacts.  These include warming local ocean temperatures, changes in precipitation patterns, heat waves, more severe storms and sea level rise."
"Saturday","238","Retain",14:00:00,15:45:00,"Field Trip","Birding Up Close","Birding","B,Y","Morro Bay Landing","","Kaaren Perry","Capt. Stew","","","Yes",$30.00,"Yes","Boat",20,"SOLID","Yes","MBUC2","Enjoy a leisurely boating tour of the bay and estuary with Kaaren Perry and Captain Stew in a spacious pontoon boat. View a variety of shorebirds and waterfowl, often at very close range. The boat will move slowly enough for you to see details of many species that you normally see only through a scope from shore. Good photo opportunities but no tripods. Captain Stew will then point out the special sights and activities of this unique working harbor including the fishing industry, pleasure boats and more. There will be opportunities to photograph wintering birds, but the boat will also get close to otters and sea lions that frequent the bay. Easy access for limited mobility. Meet at Morro Bay Landing; address is 1213 Embarcadero, Morro Bay. Children 12 and under must be accompanied by an adult. Same as events #135 & #338."
"Saturday","239","Retain",14:00:00,16:30:00,"Presentation","Birding By Ear Workshop","Birding","W","Community Center","Multipurpose Room","Jessica Griffiths","","","","No",,"No","None",30,"SOLID","Yes","BBE1","Learning bird songs and calls will make you a better birder and enrich your birding experience. But it can be challenging! Jessica Griffiths will provide tips, tricks and mnemonic devices for identifying birds by sound. She will go over how to differentiate different groups of birds (how do you tell a finch from a warbler from a sparrow?) as well as reviewing songs and calls of the most common birds in the Morro Bay area. This workshop will be useful for beginners as well as more experienced birders who want to brush up on their skills. See what a difference it makes on your next field trip! This workshop is a prerequisite for event #310 on Sunday, Birding By Ear field trip."
"Saturday","240","Retain",15:00:00,16:00:00,"Presentation","Pacific Wildlife Care - Meet the Raptors","Birding","B,W,Y","Veterans' Hall","","PWC","","","","No",,"No","None",250,"SOLID","Yes","PWC2","Meet several birds of prey, including a Great Horned Owl, a Long-eared Owl, a Red-tailed Hawk and a Peregrine Falcon. These birds are educational ambassadors for Pacific Wildlife Care, a nonprofit wildlife rehabilitation center in Morro Bay. During the presentation by Kathy Duncan and Jeri Roberts you will learn about the wonderful world of raptors and their important niche in the environment. Bring cameras and questions for this up-close study of birds with binocular vision and sharp talons. General public event. Free for Festival attendees; $2 donation to PWC for general public. Same as event #236. Program at Veterans’ Hall in Morro Bay."
"Saturday","241","Retain",15:00:00,16:45:00,"Field Trip","Bay Birding Cruise ","Birding","B,Y","Embarcadero","","Marlin Harms","","","","Yes",$30.00,"Yes","Boat",18,"SOLID","Yes","BBC3","Enjoy a leisurely boating tour of the bay and estuary with leader Marlin Harms in an open-deck 34-foot power catamaran. View a variety of shorebirds and waterfowl, often at very close range. The boat will move slowly enough for you to see details of many species that you normally see only through a scope from shore. Good photo opportunities but no tripods. Dress warmly. Meet at Sub Sea Tours, Marina Square, 699 Embarcadero #9. Easy. Children 12 and under must be accompanied by an adult. Same as events #139, #231, #333, #341 & #413."
"Saturday","242","Retain",16:00:00,17:00:00,"Presentation","Seabird Protection Network","Nature","B,W","Community Center","Lounge","Dan Robinette","","","","No",,"No","None",40,"SOLID","No","","Dan Robinette of the Point Blue Conservation Science will be speaking about seabird life history strategies and the importance of California’s coastal habitats for seabird breeding, roosting and foraging. He will highlight some of the many threats that seabirds face in California and offer some potential solutions to these threats. He will also discuss how seabirds can inform us about change within the highly variable marine environment."
"Saturday","243","Retain",19:00:00,20:30:00,"Special Event","Keynote Speaker: Sheri Williamson - Hummingbirds: Small Wonders","Birding","B,W,Y","Morro Bay High School","","Sheri Williamson","","","","No",,"No","None",400,"SOLID","No","","Tiny they may be, but hummingbirds know how to live large, says Sheri Williamson, writer of the “A Field Guide to Hummingbirds of North America” and hummingbird expert. Dazzling colors, "singing" feathers, huge brains, voracious appetites, pugnacious personalities, continent-spanning migrations and sometimes scandalous sex lives are just a few of the qualities that have earned these miniature marvels a devoted following far beyond the birding community. Sheri L. Williamson, Director of the Southeastern Arizona Bird Observatory, will tell how her life became “highjacked” by hummingbirds when she and her husband moved to Arizona. She is in the process of revising A Field Guide to Hummingbirds of North America in the Peterson Field Guide Series."
"Sunday","301","Retain",06:45:00,14:30:00,"Field Trip","Casual Little Big Day ","Birding","","Community Center","","Maggie Smith","Herb Elliott","","","Yes",$60.00,"Yes","Van",14,"SOLID","Yes","CLBD2","Join Maggie Smith and Herb Elliott for a tour of many local birding hot-spots. Expect nearly 100 species, including specialties and rarities, with time to discuss the birds and savor them a bit. Travel with leader in van. Bring lunch. Easy but many in/out of van stops. Same as event #101."
"Sunday","302","Retain",06:45:00,16:00:00,"Field Trip","Bicycle Birding Big Day","Birding","B","Community Center","","Jim Royer","","","","No",,"No","Bicycle",10,"SOLID","No","","Join Jim Royer for a birding tour of the area on bicycle and on foot. Length: about a 10-mile loop with some moderate hills and short walks. Start and end at the Community Center. The pace will be slow with frequent stops for birding. We will discuss field marks and bird vocalizations as we bird. Bring multi-speed bicycle, lock, helmet (required), water, snacks, tools, spare tube and patch kit. Also bring: back pack, fanny pack or bike back; binoculars, field guide, camera, layered clothing. Keep weight manageable for riding. Leader will have a scope. Beginning birders welcome, but not recommended for beginning cyclists. Expect to see 60 species or more: raptors, waterfowl, shorebirds and passerines. Rain or high winds cancel. Be present with your bike and ready to go at 6:45 AM at the front of the Community Center; we will leave at 7:00 AM sharp!"
"Sunday","303","New",06:45:00,17:00:00,"Field Trip","Birding the Carrizo Plain","Birding","","Community Center","","Will Knowlton","Peter Gaede","","","No",$80.00,"Yes","Van",14,"still up in the air","No","","Join Will Knowlton, biologist, and Peter Gaede, Research Associate at the Santa Barbara Museum of Natural History, for a fast-paced trip to look for Golden Eagles, Merlins, Prairie Falcons, Ferruginous Hawks, Mountain Plovers, Sage and Vesper Sparrows and much more in this unique habitat of semi-desert scrub, open grassland and juniper foothills. Travel with leaders in van. Time includes 4 hours round-trip travel. Bring Lunch. Easy, buy many in/out of van stops."
"Sunday","304","Retain",07:00:00,12:00:00,"Field Trip","Little Pelagic Half-Day Ocean Trip","Birding","","Morro Bay Landing","","Tom Benson","Tom Edell","Rich Hansen","Curtis Marantz","Yes",$65.00,"Yes","Boat",39,"SOLID","No","","Join Rich Hansen, Curtis Marantz, Tom Edell and Tom Benson on this short cruise out of Morro Bay. It offers likely views of whales, sea lions, sea otters and near-shore Pacific seabirds, including several species of shearwaters and auklets. Meet at the Community Center and travel by personal vehicle to the boat. Bring liquids, lunch and sunscreen, and take motion sickness medication prior to arriving. Dress for cold and wind, including gloves. The boat is typically used for fishing; no outdoor seating. There is seating available in the cabin. Note that the boat does not wait for late arrivals. Participants will meet at Morro Bay Landing, 1213 Embarcadero, Morro Bay. (Phone 805-771-5500). Weather conditions may cancel."
"Sunday","305","Retain",07:00:00,12:00:00,"Field Trip","Point Buchon Ecology Field Trip","Nature","B,Y","Community Center","","Sally Krenn","","","","No",,"No","Personal Vehicle",15,"SOLID","Yes","PBEFT2","Join Sally Krenn, PG&E Biologist, as you explore the spectacular scenic coastline at Point Buchon. Learn the background of this historic ranch and the efforts to regenerate the Bishop pine forest along the ridges overlooking the ocean. Look for marine mammals, gulls and shorebirds -- maybe even a Peregrine Falcon. Bring your camera to capture the striking sea stacks that dot this coastline and peek into a dramatic sink hole. Be prepared for wind and cool weather. 22 miles round trip by personal vehicle. Active three-mile round trip hike. Same as event #204."
"Sunday","306","Retain",07:30:00,11:30:00,"Field Trip","Birds Sounds Field Study","Birding","","Community Center","","Roy Poucher","","","","No",,"No","Personal Vehicle",15,"SOLID","Yes","BSW3","Join Roy Poucher in the field for the “hands-on” companion to the Bird Sounds Workshop on Friday afternoon. The goal is to solidify the general principles explored on Friday, and provide practical experience with field identification of specific Morro Bay bird songs and calls. We will primarily be standing at different locations for short time segments, silently noting on paper what bird sounds we are individually hearing, then, as a group, discussing these sounds. Though useful, binoculars are not necessary! Notebooks will be needed. The Friday afternoon Bird Sounds Workshop #132 is a prerequisite for this event. Total walking distance will be about 1.2 miles. Easy. Travel by personal vehicle <15 miles round trip from Community Center. Same as event #210."
"Sunday","307","Retain",07:30:00,11:30:00,"Field Trip","Little Sit","Birding","","Community Center","","Mike Stiles","","","","No",,"No","Personal Vehicle",10,"SOLID","No","","A Big Sit is an organized competitive group that attempts to identify (see or hear) as many species as possible from one spot (a 17-foot-diameter circle) in a calendar day. Birders at the Los Osos site overlooking Morro Bay had the highest world-wide total one year in the fall, and the site usually ranks high. Join Mike Stiles, an experienced Big Sitter, for a shorter version during which he will assist in honing your ID skills in stationary birding. The site overlooks the estuary and coastal scrub, riparian and dune habitats. A spotting scope would be helpful, though one will be provided for the group. Travel by personal vehicle 5 miles to the site, then a short walk to the "spot." Easy."
